ground_truth,prediction,score
-1,-1,-0.08955624494303716
-1,-1,-0.11782604804315522
-1,-1,-0.08088495615695601
-1,-1,-0.19827712377474205
-1,-1,-0.200713196472053
-1,-1,-0.056346514388001034
1,1,0.08898355308054018
-1,-1,-0.22016515160370032
-1,-1,-0.222018023623476
-1,-1,-0.015006890783113624
-1,-1,-0.11915700287910191
-1,-1,-0.19142750804420428
-1,-1,-0.11862080077606607
1,1,0.08602175947055146
-1,1,0.0014677755960371686
-1,-1,-0.1193578380643745
-1,-1,-0.229059243253949
-1,-1,-0.1722222277101061
-1,-1,-0.19142750804420428
-1,-1,-0.18399128310840085
-1,-1,-0.06003753335349815
1,1,0.08844619705157658
1,1,0.08939995636777337
-1,-1,-0.220530268409864
-1,-1,-0.23374011274843653
-1,-1,-0.22082059908195784
-1,-1,-0.15534920046616696
-1,-1,-0.11862080077606607
-1,-1,-0.11862080077606607
-1,-1,-0.1733947128622786
-1,-1,-0.062325120205885765
-1,-1,-0.04409097268282358
-1,-1,-0.19538678505431029
-1,-1,-0.1954971269865191
-1,-1,-0.19236251723063214
-1,-1,-0.21786970036571907
-1,-1,-0.15752078371872058
-1,-1,-0.23207876633769864
-1,-1,-0.24532970328962223
-1,-1,-0.20573392526383705
-1,-1,-0.14719442704517272
-1,-1,-0.06112203326837817
1,1,0.08293726734019358
-1,-1,-0.14943362331548482
-1,-1,-0.20327143424688277
-1,-1,-0.0740849735023249
-1,-1,-0.21670381448991083
-1,-1,-0.22340408014071367
-1,-1,-0.1138626463660789
-1,-1,-0.058244808466298925
